1			identical	UNASSIGNED	OK
2	Makefile	Makefile	identical	UNASSIGNED	OK
3	cfg_detect.sh	cfg_detect.sh	identical	UNASSIGNED	OK
4	dkms.conf	dkms.conf	identical	UNASSIGNED	OK
5	dkms.post_remove	dkms.post_remove	identical	UNASSIGNED	OK
6	dkms.pre_install	dkms.pre_install	identical	UNASSIGNED	OK
7	innodma	innodma	identical	UNASSIGNED	OK
8	innodma/Makefile	innodma/Makefile	identical	UNASSIGNED	OK
9	innodma/axi_dmac.h	innodma/axi_dmac.h	identical	UNASSIGNED	OK
10	innodma/inno_axi_dma_drv.c	innodma/inno_axi_dma_drv.c	identical	UNASSIGNED	OK
11	innodma/inno_axi_dma_drv.h	innodma/inno_axi_dma_drv.h	identical	UNASSIGNED	OK
12	innodma/inno_dmaengine.h	innodma/inno_dmaengine.h	identical	UNASSIGNED	OK
13	innodma/inno_pcie_dma_drv.c	innodma/inno_pcie_dma_drv.c	identical	UNASSIGNED	OK
14	innodma/inno_pcie_dma_drv.h	innodma/inno_pcie_dma_drv.h	identical	UNASSIGNED	OK
15	innodma/innodma.h	innodma/innodma.h	identical	UNASSIGNED	OK
16	innodma/innodma.o_shipped	innodma/innodma.o_shipped	identical	UNASSIGNED	OK
17	innodma/innodma_debug.c	innodma/innodma_debug.c	identical	UNASSIGNED	OK
18	innodma/innodma_debug.h	innodma/innodma_debug.h	identical	UNASSIGNED	OK
19	innodma/innodma_drv.c	innodma/innodma_drv.c	identical	UNASSIGNED	OK
20	innodma/pcie_dmac.h	innodma/pcie_dmac.h	identical	UNASSIGNED	OK
21	innodma/utils.h	innodma/utils.h	identical	UNASSIGNED	OK
22	innodma/virt_dma.c	innodma/virt_dma.c	identical	UNASSIGNED	OK
23	innodma/virt_dma.h	innodma/virt_dma.h	identical	UNASSIGNED	OK
24	innogpu	innogpu	identical	UNASSIGNED	OK
25	innogpu/Makefile	innogpu/Makefile	identical	UNASSIGNED	OK
26	innogpu/fixup_alignment.h	innogpu/fixup_alignment.h	identical	UNASSIGNED	OK
