path	sha256	content_class	observed_declaration	normalized_spdx	license_references	module_license_metadata	source_origin	modification_status	patch_ids	redistribution_review_state	copyright_notices
drivers/Kbuild	d5a5496a25bc85f7e9f91d7d3c042695e508c4e473cae5473347cd15b784f749	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	project-modified	patch-001	blocked-unclassified	-
drivers/Makefile	9e35f6f8dfaac015210b1704daca6cda1b8ff27e07c20e41109bd79b597bb68d	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright     Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/README.md	9f207dc0efd23c4d8f1089f6f976ae24467cabcfb95e6f161e5f78f153659aaf	project-document	project-owned; root LICENSE scope	MIT	LICENSE	-	project	project-owned	-	project-license	-
drivers/cfg_detect.sh	b8872bbd5559db5f5ad778063ea0f3541949e1d55bc0cf208206d6c2e2727f57	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/dkms.conf	d0ffebdc012f7a1ad37c9494225dbbbdef5fcaa4cf0cda074f0d2b3f04ee9002	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/dkms.post_remove	1e11bbf92451141d08d849dbbe88fa15679418dba59368e12107bebba19756b0	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/dkms.pre_install	e09050a8ce9a3bd9d5e2f1cbc7af16064f768decc303778db0e5d205b0522faa	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innodma/Makefile	287ef06b9a33fd83728b6ac49177eef863fa3ee905e16a9e47e15bc59170d28d	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innodma/axi_dmac.h	5fdbce9bb8b86886bd10932020e9cc46c884227598195934bbf244d35b75eb1d	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innodma/inno_axi_dma_drv.c	85c28d81ea2bee24a25429c3bdd1df5f88ecc0cc6f1176b2eb29c9c090b57892	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innodma/inno_axi_dma_drv.h	570c36243ef80380bd84555accfd2f217bc09f04bb46bfb662fa51fdf6c1b226	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innodma/inno_dmaengine.h	e9a40995eba96e73196fbf25747e1e0949797d0c2149c76c4cea1077b42beed6	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
